timestamp,o,d
2023-01-01 0:15:50,Freddie Robison,4580
2023-01-01 0:28:53,Mattie White,1254
2023-01-01 0:34:57,Leslie Bolton,1007
2023-01-01 0:40:34,HEITOR,RODRIGO
2023-01-01 0:45:44,Jorge Hodge,4254
2023-01-01 0:55:55,RODRIGO,VINICIUS
2023-01-01 1:01:32,Paul Harris,4149
2023-01-01 1:18:13,RODRIGO,GABRIEL
2023-01-01 2:51:29,Tim Starkey,1799
2023-01-01 3:05:47,Arlene Murray,3604
2023-01-01 3:12:55,Pricilla Williams,1911
2023-01-01 3:34:29,Joyce Acosta,1809
2023-01-01 3:38:06,John Bonsall,4668
2023-01-01 4:34:25,John Bonsall,1390
2023-01-01 4:43:33,Sharon Wing,1834
2023-01-01 4:52:58,Brooke Henderson,2229
2023-01-01 4:55:13,Ronald Mata,2527
2023-01-01 4:57:29,Rhonda Dahl,133
2023-01-01 5:10:11,Gwendolyn Coleman,3409
2023-01-01 5:19:56,Anthony Banda,381
2023-01-01 5:21:15,William Reid,1900
2023-01-01 5:22:04,Gary Age,3204
2023-01-01 5:24:10,Derek Ward,32
2023-01-01 5:24:22,Charles Jess,4146
2023-01-01 5:34:33,James Davis,1553
2023-01-01 6:13:14,Derrick Stewart,2931
2023-01-01 6:22:08,Benita Seaborn,2789
2023-01-01 6:28:39,Derrick Stewart,2096
2023-01-01 6:56:28,Alfredo Mcneil,4868
2023-01-01 7:01:31,Audie Launderville,4093
2023-01-01 7:06:14,Sam Leinweber,3685
2023-01-01 7:10:11,Billy Shaffer,581
2023-01-01 7:11:41,Christine Dececco,449
2023-01-01 7:18:02,Jonathan Mccants,917
2023-01-01 7:26:39,Nathaniel Kinney,1488
2023-01-01 7:27:15,Melissa Keith,3919
2023-01-01 7:46:41,Elizabeth Newman,2215
2023-01-01 8:20:59,Danny Sanchez,3485
2023-01-01 8:51:26,Greg Craft,4962
2023-01-01 8:53:01,Janet Anderson,46
2023-01-01 8:53:57,Christian Perkins,3043
2023-01-01 9:06:29,Doreen Jones,3893
2023-01-01 9:36:18,Patricia Lawrence,1665
2023-01-01 9:56:12,Fallon Baker,53
2023-01-01 10:03:17,Alfred Acres,97
2023-01-01 10:11:39,Elizabeth Wisdom,1555
2023-01-01 10:11:45,Marc Burns,357
2023-01-01 10:14:34,Marshall Sandow,3383
2023-01-01 10:27:00,Carl Davis,2123
2023-01-01 10:34:29,Travis Aguero,3148
2023-01-01 10:35:24,Shawn Francis,2372
2023-01-01 10:50:26,Michael Sturkie,4099
2023-01-01 10:59:12,Rosa Throckmorton,643
2023-01-01 11:01:02,Jeffrey Rose,285
2023-01-01 11:20:31,Ronald Dang,2310
2023-01-01 11:24:51,Catherine Page,638
2023-01-01 12:06:16,Amy Raines,353
2023-01-01 12:09:32,Eric Parsons,1591
2023-01-01 12:45:14,Micheal Buchanan,584
2023-01-01 12:49:04,Helen Ortiz,4947
2023-01-01 12:55:17,Fay Mueller,124
2023-01-01 13:01:41,Martha Williams,1253
2023-01-01 13:07:37,Barbara Mosier,1553
2023-01-01 13:08:20,Ronald Little,3043
2023-01-01 13:22:27,Nola Farris,4626
2023-01-01 13:33:46,Ricky Ortiz,1877
2023-01-01 13:44:16,Stephanie Printy,1821
2023-01-01 14:30:36,Chris Chavez,3324
2023-01-01 14:36:27,Alana Bartley,2406
2023-01-01 14:42:16,Russell Shireman,4400
2023-01-01 14:47:19,Thomas Mcleod,2843
2023-01-01 14:48:47,Jennifer Carualho,4861
2023-01-01 14:53:06,William Martinez,3514
2023-01-01 14:54:02,Leah Smith,2957
2023-01-01 15:12:03,Steven Montoya,3368
2023-01-01 15:17:46,Andres Kirkham,561
2023-01-01 15:20:49,Elizabeth Severy,1454
2023-01-01 15:23:06,Dana King,1331
2023-01-01 15:30:35,Christopher Harris,165
2023-01-01 15:37:34,Reed Averill,3475
2023-01-01 15:59:38,Grace Mccord,196
2023-01-01 16:18:32,Howard Wilton,121
2023-01-01 17:03:34,Michael Terracina,3249
2023-01-01 17:17:19,Bessie Thomas,120
2023-01-01 17:21:07,Jason Thompson,839
2023-01-01 17:33:15,Marian Mckinney,1332
2023-01-01 17:40:07,Darin Perry,3265
2023-01-01 17:48:10,Leon Melo,4677
2023-01-01 18:00:32,William Jackson,2667
2023-01-01 18:02:28,Lori Mills,2382
2023-01-01 18:05:31,Carl Manning,666
2023-01-01 18:11:34,Natasha Schutte,4212
2023-01-01 18:32:48,Vanessa Hanson,4344
2023-01-01 18:41:08,Katherine Nelson,4537
2023-01-01 18:56:33,Richard Stevenson,2528
2023-01-01 19:01:41,Lynne Nasworthy,2478
2023-01-01 19:01:48,George Thompson,4675
2023-01-01 19:04:28,Louvenia Santos,1327
2023-01-01 19:18:13,Herbert Bryant,4359
2023-01-01 19:26:21,Thomas Simpson,4152
2023-01-01 19:43:12,Shaun Beals,2806
2023-01-01 19:45:09,Elizabeth Matos,710
2023-01-01 19:51:07,Jessica Hill,4488
2023-01-01 20:25:40,Herbert Bryant,3507
2023-01-01 20:39:28,Horace Mcgowan,2895
2023-01-01 20:46:11,Gene Rayner,4312
2023-01-01 21:26:24,Mindy Hare,526
2023-01-01 21:36:59,Marvin Cruz,1953
2023-01-01 21:49:57,Susan Marsh,403
2023-01-01 21:51:02,Larry Zanchez,591
2023-01-01 22:20:26,Mattie White,4211
2023-01-01 22:24:11,John Hillard,3156
2023-01-01 22:28:13,Ronald Brown,329
2023-01-01 22:39:12,Andrew Okins,757
2023-01-01 22:47:28,HEITOR,RODRIGO
2023-01-01 23:01:45,John Leesman,662
2023-01-01 23:06:37,Joan Grantham,3665
2023-01-01 23:16:25,RODRIGO,VINICIUS
2023-01-01 23:31:06,RODRIGO,GABRIEL
2023-01-01 23:31:31,David Moise,3630
2023-01-01 23:32:46,Leon Staff,3943
2023-01-01 23:32:50,Patricia Mclemore,966
2023-01-01 23:39:07,Ryan Oiler,545
2023-01-01 23:51:26,Shirley Hanks,4347
2023-01-01 23:55:01,Amanda Copland,1601
2023-01-02 0:01:11,Heather Shannon,4722
2023-01-02 0:16:00,Mary George,1976
2023-01-02 0:55:10,Gerald Crayton,183
2023-01-02 1:00:21,Elizabeth Nath,4621
2023-01-02 1:12:51,Brenda Prewitt,2231
2023-01-02 1:13:14,Andy Moore,3869
2023-01-02 1:29:18,Christy Cooper,1733
2023-01-02 1:38:47,Tonja Gladden,4499
2023-01-02 1:47:29,Anne Kochevar,1456
2023-01-02 1:52:29,Moises Gonzalez,4875
2023-01-02 2:01:55,Cody Frizzell,2681
2023-01-02 2:08:37,Mary Robinson,3
2023-01-02 2:10:01,Gary Grove,24
2023-01-02 2:13:27,Jesus Johnston,2629
2023-01-02 2:32:15,Elizabeth Olivia,3128
2023-01-02 2:32:28,Winifred Baudoin,2800
2023-01-02 2:43:01,Richard Hairston,3344
2023-01-02 2:46:36,Barry Styron,3346
2023-01-02 2:53:04,David Horan,1436
2023-01-02 2:58:25,Frances Esparza,3824
2023-01-02 3:10:19,Eddie Mintz,2874
2023-01-02 3:19:34,Addie Lewis,3978
2023-01-02 3:35:51,Mike Hoopes,1747
2023-01-02 3:37:23,Doris Rice,3770
2023-01-02 3:59:20,Barbara Elliott,4849
2023-01-02 4:16:45,Teresa Burmeister,943
2023-01-02 4:19:26,Kim Gaytan,369
2023-01-02 4:20:48,Arthur Stegall,4373
2023-01-02 4:28:59,Wallace Pham,2786
2023-01-02 4:30:55,Rhonda Palacios,1754
2023-01-02 4:40:41,Debra Walker,4619
2023-01-02 4:41:58,Matthew Mckeane,1328
2023-01-02 4:42:52,Lydia Tingle,703
2023-01-02 4:47:27,Christopher Johnson,4707
2023-01-02 4:47:29,Lamar Caruso,3450
2023-01-02 5:31:16,Ron Herndon,178
2023-01-02 5:39:13,Joyce Debolt,4208
2023-01-02 5:54:31,John Sanchez,4027
2023-01-02 5:55:18,James Johnson,4901
2023-01-02 6:04:40,Marjorie Bowden,1632
2023-01-02 6:05:30,Charles Beasley,3290
2023-01-02 6:10:59,Susan Giannakopoulo,4247
2023-01-02 6:27:02,Christine Karaffa,4402
2023-01-02 6:51:01,Ramona Kelly,3775
2023-01-02 6:56:21,Lois Cruz,2226
2023-01-02 7:02:33,Barbara Casto,3074
2023-01-02 7:05:28,Mary Doughty,3267
2023-01-02 7:20:46,Irma Colbert,3740
2023-01-02 7:28:24,Kenneth Lindenbaum,129
2023-01-02 7:34:37,Forrest Botti,4210
2023-01-02 7:42:02,Catherine Black,2984
2023-01-02 7:49:04,Dennis Graham,1864
2023-01-02 8:12:45,Kenneth Baldwin,1545
2023-01-02 8:14:00,Karen Russell,2120
2023-01-02 8:15:01,Lawrence Mages,1669
2023-01-02 8:23:12,Amanda Copland,2922
2023-01-02 8:38:51,Margaret Jones,688
2023-01-02 8:50:46,Muriel Hubbard,4066
2023-01-02 9:04:37,Danny Sanchez,2475
2023-01-02 9:12:08,Mavis Stamps,877
2023-01-02 9:20:16,Ian Kiehl,1036
2023-01-02 9:31:39,Bruce Adams,1182
2023-01-02 9:35:07,Kelly Bell,4517
2023-01-02 9:41:33,Eric Greene,482
2023-01-02 9:46:13,Ellen Dixon,3142
2023-01-02 9:46:18,Jean Brown,3733
2023-01-02 9:53:26,Beulah Bower,2623
2023-01-02 9:58:04,Wendy Romero,165
2023-01-02 10:06:49,Terrance Sandoval,2770
2023-01-02 10:14:42,Barbara Boone,722
2023-01-02 10:36:02,Josephine Clark,2137
2023-01-02 11:08:15,Constance Ioele,3406
2023-01-02 11:09:56,Ellen Halfmann,4154
2023-01-02 11:14:30,James Roberts,2360
2023-01-02 11:22:25,Normand Burns,1969
2023-01-02 11:24:55,James Burditt,1011
2023-01-02 11:28:44,Danielle Dagel,4643
2023-01-02 11:32:48,Robert Levitz,2561
2023-01-02 11:40:06,Thelma Essig,4145
2023-01-02 11:40:26,Donald York,544
2023-01-02 11:41:51,Joan Nailor,1685
2023-01-02 12:05:36,Harvey Lawrence,3947
2023-01-02 12:10:56,Kathy Stone,2128
2023-01-02 12:16:05,Samuel Joecks,626
2023-01-02 12:54:35,Christy Valentine,807
2023-01-02 12:55:28,Clifford Willingham,4837
2023-01-02 13:00:25,Dennis Cook,4768
2023-01-02 13:09:37,Donna Jarrett,4575
2023-01-02 13:18:56,Whitney Simonis,3976
2023-01-02 13:20:24,Melissa Rogers,2054
2023-01-02 13:32:49,Stephen Kuziel,1933
2023-01-02 13:34:41,Linda Love,374
2023-01-02 13:37:09,Alexander Davis,3120
2023-01-02 13:54:31,Tony Hollinger,3147
2023-01-02 14:15:10,Virginia Burnett,4235
2023-01-02 14:18:38,Anne Cain,851
2023-01-02 14:24:59,Jason Wegener,1818
2023-01-02 14:26:12,Fredrick Turner,3191
2023-01-02 14:27:31,Phil Williamson,4572
2023-01-02 14:35:55,John Santos,1441
2023-01-02 14:53:18,Ronald Thomen,1412
2023-01-02 14:57:00,Timmy Dailey,3146
2023-01-02 15:07:42,Warren Buffum,846
2023-01-02 15:29:37,Ann Erickson,2397
2023-01-02 15:38:38,Charles Uziel,1876
2023-01-02 16:01:33,Brandon Kiani,3011
2023-01-02 16:05:41,Kendra Bridge,1332
2023-01-02 16:13:58,Allen Bible,104
2023-01-02 16:22:30,Antonia Plummer,2118
2023-01-02 16:36:00,Evelina Harris,4845
2023-01-02 16:45:49,Sherry Ayers,4979
2023-01-02 16:58:12,Doris Clarke,19
2023-01-02 17:01:01,Gary Mangrum,4051
2023-01-02 17:05:42,Mary Wheeler,3450
2023-01-02 17:14:52,Carrie Seymour,4007
2023-01-02 17:35:27,Bruce Smith,1031
2023-01-02 17:53:21,Jessica Verrill,4452
2023-01-02 18:01:24,Whitney Simonis,1384
2023-01-02 18:04:45,Timothy Guevara,2909
2023-01-02 18:09:21,Ramona Cervantes,1514
2023-01-02 18:14:44,Rick Green,3078
2023-01-02 18:35:12,Crystal Lohmann,520
2023-01-02 19:00:41,Geraldine Abrams,4072
2023-01-02 19:10:54,Mary Gordon,177
2023-01-02 19:20:05,Diane Nagy,961
2023-01-02 19:34:43,Joshua Solian,4639
2023-01-02 19:46:40,Ernestine Murrell,1347
2023-01-02 20:04:43,Theresa Dawson,3141
2023-01-02 20:12:31,Jeremy Martinez,650
2023-01-02 20:15:38,Corine Cowdery,1591
2023-01-02 20:42:28,Katherine Nelson,1237
2023-01-02 20:44:51,Albert Love,307
2023-01-02 20:58:54,Clyde Taylor,818
2023-01-02 22:01:18,Mayra Collazo,4104
2023-01-02 22:32:42,Gregory Epperly,4687
2023-01-02 22:44:05,John Hawkins,4048
2023-01-02 22:47:15,Jimmy Battaglia,875
2023-01-02 23:44:09,Filiberto Lamontagne,2704
2023-01-02 23:50:24,Nicole Burns,3574
2023-01-02 23:50:59,James Satterthwaite,1383
2023-01-02 23:57:19,Frederick Mckelvey,387
2023-01-03 0:02:41,Albert Rayford,666
2023-01-03 0:14:37,Jeff Kazarian,2777
2023-01-03 0:20:44,Lawrence Gendreau,1154
2023-01-03 1:03:38,Sheryl Bell,4925
2023-01-03 1:12:20,Donny Albert,2580
2023-01-03 1:24:56,Carylon Cowan,2928
